Zůstat,Bleiben,Blieb,Sein geblieben
Rozhodnout se,Sich entscheiden,Entshied sich,Haben sich entshieden
Pujčit,Leihen,Lieh,Haben geliehen
Vypujčit,Ausleihen,Lieh aus,Haben ausgeliehen
Svítit,Scheinen,Schien,Haben geschienen
Psát,Shreiben,Schrieb,Haben geschrieben
Mlčet,Shweigen,Schwieg,Haben geschwiegen
Stoupat,Steigen,Stieg,Sein gestiegen
Přestoupit,Umsteigen,Stieg um,Sein umgestiegen
Nastoupit,Einsteigen,Stieg ein,Sein eingestiegen
Vystoupit,Aussteigen,Stieg aus,Sein ausgestiegen
Dělat sport,Sport treiben,Trieb sport,Haben sportgetrieben
Prominout,Verzeihen,Verzieh,Haben verziehen
Sahat,Greifen,Griff,Haben gegriffen
Pochopit,Begreifen,Begriff,Haben begriffen
Hádat se,Sich streiten,Stritt sich,Haben sich gestritten
Stříhat/řezat/krájet,Schneiden,Schnitt,Haben geschnitten
Jezdit na koni,Reiten,Ritt,Sein geritten
Pískat,Pfeifen,Pfiff,Haben gepfiffen
Nabízet,Anbieten,Bot an,Haben angeboten
Zakázat,Verbieten,Verbot,Haben verboten
Táhnout,Ziehen,Zog,Haben gezogen
Obléct se,Sich anziehen,Zog sich an,Haben sich angezogen
Převléct se,Sich umziehen,Zog sich um,Haben sich umgezogen
Vysléct se,Sich ausziehen,Zog sich aus,Haben sich ausgezogen
Nastěhovat se,Einziehen,Zog ein,Sein eingezogen
Přestěhovat se,Umziehen,Zog um,Sein umgezogen
Vystěhovat se,Ausziehen,Zog aus,Sein ausgezogen
Letět,Fliegen,Flog,Sein geflogen
Zamknout,Schließen,Schloss,Haben geschlossen
Ztratit/prohrát,Verlieren,Verlor,Haben verloren
